"","name","gender","age","position","task","time"
"1","Ann","f",31,1,"red",73
"2","Ann","f",31,2,"circle",64
"3","Bea","f",18,1,"circle",42
"4","Bea","f",18,2,"blue",18
"5","Cat","f",42,1,"red",31
"6","Cat","f",42,2,"square",41
"7","Deb","f",18,1,"square",51
"8","Deb","f",18,2,"blue",35
"9","Ed","m",21,1,"red",71
"10","Ed","m",21,2,"circle",44
"11","Fred","m",63,1,"circle",63
"12","Fred","m",63,2,"blue",56
"13","Gary","m",22,1,"red",60
"14","Gary","m",22,2,"square",98
"15","Hans","m",31,1,"square",41
"16","Hans","m",31,2,"blue",40
